Name,Date of Birth,Height,Position,Points per Set,Aces per Set,Blocks per Set,Reception Percentage,Attack Percentage,volleybox,Nationality,League Site
BOJOVIC MLADEN,20/02/1986,200cm,Opposite,5.16(439/85),0.52(44/85),0.31(26/85),0%(0/2),51%(369/722),https://volleybox.net/mladen-bojovic-p2397,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=770&PlayerID=9&ID=62
PARAPUNOV RADOSLAV,16/06/1997,205cm,Opposite,5.09(499/98),0.54(53/98),0.47(46/98),0%(0/1),54%(400/747),https://volleybox.net/radoslav-parapunov-p17570,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=775&PlayerID=6077&ID=62
TUPCHII ANDRII,14/11/1986,202cm,Opposite,4.99(449/90),0.39(35/90),0.26(23/90),0%(0/3),50%(392/777),https://volleybox.net/andrii-tupchii-p6762,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=767&PlayerID=5577&ID=62
BLAGOJEVIC ALEKSANDAR,05/08/1993,200cm,Opposite,4.9(470/96),0.61(59/96),0.29(28/96),33%(2/6),50%(383/765),https://volleybox.net/aleksandar-blagojevic-p3601,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=773&PlayerID=4580&ID=62
BRUNET LAZARO,18/02/2000,198cm,Wing-spiker,4.85(359/74),0.47(35/74),0.28(21/74),49%(268/552),55%(303/555),https://volleybox.net/lazaro-yoelvis-brunet-llanes-p28768,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=774&PlayerID=6906&ID=62
MRDAK MILIJA,26/10/1991,201cm,Opposite,4.68(454/97),0.32(31/97),0.31(30/97),0%(0/4),52%(393/763),https://volleybox.net/milija-mrdak-p5503,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=769&PlayerID=67&ID=62
KHAN MURAD,02/03/2000,205cm,Opposite,4.5(423/94),0.35(33/94),0.64(60/94),0%(0/3),48%(330/688),https://volleybox.net/murad-khan-p43387,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=772&PlayerID=6659&ID=62
HALILOVIC SAMED,03/10/2000,198cm,Opposite,4.21(219/52),0.23(12/52),0.21(11/52),0%(0/3),47%(196/415),https://volleybox.net/samed-halilovic-p56955,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=771&PlayerID=5220&ID=62
RADOVIC BRANISLAV,N/A,195cm,Opposite,4.13(161/39),0.31(12/39),0.31(12/39),N/A,39%(137/353),https://volleybox.net/branislav-radovic-p2674,N/A,N/A
KRSTIC MILAN,11/07/1997,200cm,Opposite,4.09(315/77),0.3(23/77),0.17(13/77),0%(0/2),49%(280/568),https://volleybox.net/milan-krstic-p32871,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=774&PlayerID=4619&ID=62
MICIC TOMO,12/05/1990,194cm,Opposite,4.04(291/72),0.6(43/72),0.17(12/72),N/A,45%(236/519),https://volleybox.net/tomo-micic-p4308,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=765&PlayerID=290&ID=62
KOPITIC BRANKO,25/11/2003,204cm,Opposite,3.9(269/69),0.2(14/69),0.38(26/69),20%(6/29),44%(229/525),https://volleybox.net/branko-kopitic-p34077,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=768&PlayerID=6065&ID=62
NADAZDIN MILOS,06/01/1995,198cm,Wing-spiker,3.87(298/77),0.29(22/77),0.17(13/77),0%(0/4),47%(263/560),https://volleybox.net/milos-nadazdin-p25842,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=766&PlayerID=4064&ID=62
TADIC LUKA,10/10/2000,203cm,Wing-spiker,3.67(349/95),0.23(22/95),0.46(44/95),38%(223/593),49%(283/572),https://volleybox.net/luka-tadic-p15440,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=769&PlayerID=4925&ID=62
TODOROVIC IVAN,25/11/1981,190cm,Wing-spiker,3.55(323/91),0.21(19/91),0.12(11/91),53%(223/422),51%(293/580),https://volleybox.net/ivan-todorovic-p50210,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=770&PlayerID=5626&ID=62
MASULOVIC VELJKO,02/10/2002,202cm,Wing-spiker,3.38(243/72),0.24(17/72),0.43(31/72),42%(160/385),48%(195/405),https://volleybox.net/veljko-masulovic-p32856,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=772&PlayerID=5398&ID=62
MIRKOVIC STEFAN,04/10/1999,191cm,Wing-spiker,3.37(280/83),0.24(20/83),0.28(23/83),38%(139/364),48%(237/489),https://volleybox.net/stefan-mirkovic-p77844,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=771&PlayerID=4630&ID=62
MEHIC DAVID,24/09/1997,197cm,Wing-spiker,3.37(330/98),0.29(28/98),0.32(31/98),51%(201/397),51%(271/531),https://volleybox.net/david-mehic-p6104,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=775&PlayerID=4639&ID=62
BJELICA GORAN,05/09/1985,204cm,Wing-spiker,3.32(236/71),0.23(16/71),0.31(22/71),54%(188/349),53%(198/372),https://volleybox.net/goran-bjelica-p6661,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=767&PlayerID=4300&ID=62
NIKOLIC DUSAN,02/08/2001,206cm,Opposite,3.31(278/84),0.3(25/84),0.2(17/84),N/A,45%(236/519),https://volleybox.net/dusan-nikolic-p55241,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=764&PlayerID=5641&ID=62
DANIEL GRUVAEUS,20/08/1999,195cm,Wing-spiker,3.26(339/104),0.3(31/104),0.31(32/104),46%(257/564),46%(276/600),https://volleybox.net/daniel-gruvaeus-p33043,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=769&PlayerID=6742&ID=62
OMAR AHMED,04/03/1995,199cm,Wing-spiker,3.12(287/92),0.17(16/92),0.37(34/92),46%(206/447),50%(237/478),https://volleybox.net/ahmed-deyaa-omar-p17263,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=772&PlayerID=6885&ID=62
SKAKIC STEFAN,19/10/1999,195cm,Wing-spiker,3.08(259/84),0.25(21/84),0.29(24/84),46%(246/536),47%(214/458),https://volleybox.net/stefan-skakic-p33281,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=764&PlayerID=4601&ID=62
GLAVINIC IVAN,14/06/1992,195cm,Wing-spiker,3.08(246/80),0.24(19/80),0.38(30/80),47%(200/430),42%(197/471),https://volleybox.net/ivan-glavinic-p56848,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=771&PlayerID=322&ID=62
PEPIC MILAN,20/12/1984,197cm,Opposite,3.04(237/78),0.24(19/78),0.32(25/78),66%(2/3),49%(193/396),https://volleybox.net/milan-pepic-p66,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=764&PlayerID=5656&ID=62
VUJOVIC NIKOLA,23/12/2000,200cm,Wing-spiker,3.01(205/68),0.29(20/68),0.29(20/68),41%(145/355),37%(165/449),https://volleybox.net/nikola-vujovic-p65402,SRB,https://ossrb-web.dataproject.com/PlayerDetails.aspx?TeamID=768&PlayerID=4585&ID=62
